SWD		SHLD		FIR		FSW		FSH		ICE		ISW		ISH		WND		WSW		WSH		ETH		ESW		ESH		ATK		DEF		MRP		Sword/Shield
3.712000	3.820000	1.784000	0.864000	0.920000	1.972000	0.936000	1.036000	1.852000	0.964000	0.888000	1.924000	0.948000	0.976000	1.832000	1.808000	1.360000	0.971728
3.744000	3.792000	1.876000	0.944000	0.932000	1.976000	0.944000	1.032000	1.724000	0.884000	0.840000	1.960000	0.972000	0.988000	1.828000	1.816000	1.356000	0.987342
4.000000	3.620000	1.952000	0.968000	0.984000	1.820000	0.944000	0.876000	1.804000	0.988000	0.816000	2.044000	1.100000	0.944000	1.852000	1.688000	1.460000	1.104972
3.848000	3.712000	1.924000	0.984000	0.940000	1.784000	0.844000	0.940000	1.780000	0.920000	0.860000	2.072000	1.100000	0.972000	1.876000	1.732000	1.392000	1.036638
3.736000	3.836000	1.904000	0.928000	0.976000	1.968000	0.920000	1.048000	1.820000	0.924000	0.896000	1.880000	0.964000	0.916000	2.000000	1.696000	1.304000	0.973931
3.660000	3.932000	1.872000	0.912000	0.960000	1.832000	0.844000	0.988000	1.892000	0.912000	0.980000	1.996000	0.992000	1.004000	2.080000	1.652000	1.268000	0.930824
3.764000	3.844000	2.016000	0.984000	1.032000	1.764000	0.836000	0.928000	1.880000	0.928000	0.952000	1.948000	1.016000	0.932000	1.912000	1.740000	1.348000	0.979188
3.872000	3.724000	1.928000	1.032000	0.896000	1.876000	0.892000	0.984000	1.916000	0.932000	0.984000	1.876000	1.016000	0.860000	1.864000	1.804000	1.332000	1.039742
3.860000	3.724000	1.828000	0.912000	0.916000	1.936000	0.964000	0.972000	1.784000	0.900000	0.884000	2.036000	1.084000	0.952000	1.776000	1.880000	1.344000	1.036520
3.872000	3.744000	1.828000	0.908000	0.920000	1.920000	0.964000	0.956000	1.820000	0.936000	0.884000	2.048000	1.064000	0.984000	1.784000	1.904000	1.312000	1.034188
3.832000	3.740000	1.836000	0.908000	0.928000	1.868000	0.924000	0.944000	1.840000	0.964000	0.876000	2.028000	1.036000	0.992000	1.824000	1.876000	1.300000	1.024599
3.868000	3.724000	1.756000	0.884000	0.872000	1.908000	0.948000	0.960000	1.968000	1.044000	0.924000	1.960000	0.992000	0.968000	1.868000	1.792000	1.340000	1.038668
3.920000	3.652000	1.864000	0.948000	0.916000	1.864000	0.968000	0.896000	1.776000	0.952000	0.824000	2.068000	1.052000	1.016000	2.000000	1.832000	1.168000	1.073384
3.688000	3.916000	1.820000	0.836000	0.984000	1.740000	0.892000	0.848000	2.076000	1.048000	1.028000	1.968000	0.912000	1.056000	1.792000	1.884000	1.324000	0.941777
3.748000	3.804000	1.868000	0.956000	0.912000	1.856000	0.840000	1.016000	1.872000	0.964000	0.908000	1.956000	0.988000	0.968000	1.868000	1.812000	1.320000	0.985279
3.652000	3.968000	1.960000	0.972000	0.988000	1.840000	0.828000	1.012000	1.852000	0.912000	0.940000	1.968000	0.940000	1.028000	1.900000	1.800000	1.300000	0.920363
3.776000	3.824000	1.924000	0.972000	0.952000	1.836000	0.916000	0.920000	1.876000	0.916000	0.960000	1.964000	0.972000	0.992000	1.964000	1.836000	1.200000	0.987448
3.688000	3.948000	1.848000	0.928000	0.920000	1.960000	0.940000	1.020000	1.780000	0.812000	0.968000	2.048000	1.008000	1.040000	1.892000	1.864000	1.244000	0.934144
3.852000	3.824000	1.916000	0.964000	0.952000	1.904000	0.920000	0.984000	1.888000	0.936000	0.952000	1.968000	1.032000	0.936000	1.932000	1.772000	1.296000	1.007322
3.784000	3.876000	1.888000	0.936000	0.952000	1.928000	0.900000	1.028000	1.912000	0.948000	0.964000	1.932000	1.000000	0.932000	1.972000	1.788000	1.240000	0.976264
3.572000	4.076000	1.856000	0.908000	0.948000	1.952000	0.844000	1.108000	1.884000	0.932000	0.952000	1.956000	0.888000	1.068000	1.928000	1.800000	1.272000	0.876349
